rulesofcourt,applicability,judgementdate,article,respondent,violation,separateopinion,externalsources,referencedate,appno,docname,extractedappno,ecli,conclusion,doctypebranch,issue,representedby,doctype,importance,nonviolation,languageisocode,publishedby,scl,originatingbody,itemid,rank
,,20/07/2010 00:00:00,5;5-3;6;6-1;6-3-d,LTU,5;5-3,False,,,17095/02,CASE OF BALČIŪNAS v. LITHUANIA,17095/02;6847/02;75039/01;28957/02;34578/97;26772/95;543/03;58442/00;46133/99;48183/99;33977/96;45100/98;66820/01;20496/02;29798/02;50272/99;27504/95;29462/95;37019/97;29900/96;29901/96;29902/96;29903/96;59304/00;47679/99,ECLI:CE:ECHR:2010:0720JUD001709502,Violation of Art. 5-3;No violation of Art. 6-1;No violation of Art. 6-3-d,CHAMBER,,ANDRIKIS R.,HEJUD,4,6;6-1;6-3-d,ENG,,,6.0,001-100036,2.7841494
,,,3;6;6-1;6-2;6-3-a;6-3-b;6-3-c;6-3-d;13,TUR,,,,,18376/09,KESIK v. TURKEY,18376/09;33396/02;45907/99;36686/07,ECLI:CE:ECHR:2010:0824DEC001837609,Partly inadmissible,ADMISSIBILITY,,"ALTAY G., lawyer, Istanbul ;  KARAKUS, H., lawyer, Istanbul",HEDEC,4,,ENG,,,5.0,001-100366,2.7841494
,,,6;6-1;6-3-a;6-3-d;13;37;37-1,FIN,,,,,29372/09,HUOVINEN AND EKOSTYLE OY v. FINLAND,29372/09;23228/94,ECLI:CE:ECHR:2010:0831DEC002937209,Partly struck out of the list;Partly inadmissible,ADMISSIBILITYCOM,,,HEDEC,4,,ENG,,,28.0,001-100397,2.7841494
,,28/09/2010 00:00:00,6;6-1;6-1+6-3-d;6-3-d;6-3;41,FIN,6-1+6-3-d;6-1;6-3-d;6,True,,,40156/07,CASE OF A.S. v. FINLAND,40156/07;54810/00;4378/02;35394/97;44787/98;5935/02;48539/99;29900/96;29901/96;29902/96;29903/96;14151/02;46602/99;23220/04;30542/04;33900/96;30598/02;34209/96;17122/02;54789/00;22508/02;18114/02;30900/02,ECLI:CE:ECHR:2010:0928JUD004015607,Violation of Art. 6-1+6-3-d;Non-pecuniary damage - award,CHAMBER,,FREDMAN M.,HEJUD,3,,ENG,,"A.H. v. Finland, no. 46602/99, §§ 40, 43 and 44, 10 May 2007;A.L. v. Finland, no. 23220/04, §§ 37, 38, 41 and 44, 27 January 2009;Accardi and Others v. Italy (dec.), no. 30598/02, ECHR 2005-II;Allan v. the United Kingdom, no. 48539/99, §§ 42 and 43, ECHR 2002-IX;Asch v. Austria, 26 April 1991, §§ 25 and 27, Series A no. 203;B. v. Finland, no. 17122/02, § 44-45, 24 April 2007;Baegen v. the Netherlands, 27 October 1995, Series A no. 327-B;Bocos-Cuesta v. the Netherlands, no. 54789/00, §§ 71 and 72, 10 November 2005;Bykov v. Russia [GC], no. 4378/02, §§ 88-90, ECHR 2009;D. v. Finland, no. 30542/04, §§ 42, 43, 50 and 51, 7 July 2009;Doorson v. the Netherlands, 26 March 1996, § 76, Reports of Judgments and Decisions 1996-II;F. and M. v. Finland, no. 22508/02, § 60, 17 July 2007;Heglas v. the Czech Republic, no. 5935/02, §§ 89-92, 1 March 2007;Hermi v. Italy [GC], no. 18114/02, § 73, ECHR 2006-XII;Jalloh v. Germany [GC], no. 54810/00, §§ 94-96, ECHR 2006-IX;Jones v. the United Kingdom (dec.), no. 30900/02, 9 September 2003;Khan v. the United Kingdom, no. 35394/97, §§ 34, 35 and 37, ECHR 2000-V;P.G. and J.H. v. the United Kingdom, no. 44787/98, § 76, ECHR 2001-IX;P.S. v. Germany, no. 33900/96, § 23, 20 December 2001;S.N. v. Sweden, no. 34209/96, § 49-50, ECHR 2002-V;Sadak and Others v. Turkey, nos. 29900/96, 29901/96, 29902/96 and 29903/96, § 67, ECHR 2001-VIII;Schenk v. Switzerland, 12 July 1988, § 45, Series A no. 140;Teixeira de Castro v. Portugal, 9 June 1998, § 34, Reports 1998-IV;W. v. Finland, no. 14151/02, §§ 43, 46 and 47, 24 April 2007;W.S. v. Poland, no. 21508/02, §§ 55 and 61, 19 June 2007",7.0,001-100709,2.7841494
,,,5;5-4;6;6-2;6-3-c;6-3-d;37;37-1,POL,,,,,32588/06,GODYSZ v. POLAND,32588/06;1130/07;259/07;2245/07;218/07;125/07;8/08;15212/03;11215/02;26307/95;11602/02;28953/03;30979/96;64886/01;52690/99;56026/00;30210/96;46949/07,ECLI:CE:ECHR:2010:0921DEC003258806,Partly struck out of the list;Partly inadmissible,ADMISSIBILITYCOM,,,HEDEC,4,,ENG,,,28.0,001-100938,2.7841494
,,,6;6-1;6-3-a;6-3-b;6-3-c;6-3-d,UKR,,,,,66338/09,YAREMENKO v. UKRAINE (II),66338/09;32092/02;27569/02,ECLI:CE:ECHR:2010:0921DEC006633809,Partly inadmissible,ADMISSIBILITY,,"BUSHCHENKO A.P., lawyer, Kharkiv",HEDEC,4,,ENG,,,23.0,001-100945,2.7841494
,,,6;6-1;6-3-d,BEL,,,,,12305/86,V. v. BELGIUM,12305/86;1103/61;5574/72;10307/83;8231/78,ECLI:CE:ECHR:1989:0306DEC001230586,Inadmissible,DECCOMMISSION,,,HEDEC,4,,ENG,,"No. 1103/61, Dec. 12.3.62 Yearbook 5, pp. 168, 186;No. 5574/72, Dec. 21.3.75, D.R. 3, pp. 10, 15;No. 8231/78, Dec. 6.3.82, D.R. 28 p. 5;No. 10307/83, Dec. 6.3.84, D.R. 37, pp. 113, 120",21.0,001-1011,2.7841494
,,21/10/2010 00:00:00,5;5-3;6;6-1;6-1+6-3-b;6-3-b;6-3-d,UKR,6;6-3-d;6-1+6-3-b;6-1;6-3-b,False,,,17444/04,CASE OF KORNEV AND KARPENKO v. UKRAINE,17444/04;56529/00;25642/94;2192/03;33354/96;38789/04;61406/00;9300/81;27245/95;63378/00;29835/96;33268/03;7460/03,ECLI:CE:ECHR:2010:1021JUD001744404,Remainder inadmissible;No violation of Art. 5-3;Violation of Art. 6-3-d;Violation of Art. 6-1+6-3-b;Non-pecuniary damage - award,CHAMBER,,BUSHCHENKO A. P.,HEJUD,3,5;5-3,ENG,,"Aquilina v. Malta [GC], no. 25642/94, ECHR 1999-III;Ashughyan v. Armenia, no. 33268/03, 17 July 2008;Benham v. the United Kingdom, judgment of 10 June 1996, Reports of Judgments and Decisions 1996-III, pp. 752-53;Brogan and Others v. the United Kingdom, 29 November 1988, Series A no. 145-B;C.G.P. v. the Netherlands, (dec.), no. 29835/96, 15 January 1997;Can v. Austria, no. 9300/81, Commission’s report of 12 July 1984, Series A no. 96;Connolly v. the United Kingdom (dec.), no. 27245/95, 26 June 1996;De Jong, Baljet and Van den Brink v. the Netherlands, 22 May 1984, Series A no. 77;Doorson v. the Netherlands, judgment of 26 March 1996, Reports 1996-II, p. 472;Enhorn v. Sweden, no. 56529/00, ECHR 2005-...;Eriksen v. Norway, judgment of 27 May 1997, Reports 1997-III, pp. 861-62;F.C.B. v. Italy, judgment of 28 August 1991, Series A no. 208-B, p. 20;Foucher v. France, judgment of 18 March 1997, Reports 1997-II;Gurepka v. Ukraine (no. 2), no. 38789/04, 8 April 2010;Gurepka v. Ukraine, no. 61406/00, 6 September 2005;Harkmann v. Estonia (dec.), no. 2192/03, 1 March 2005;Lucà v. Italy, no. 33354/96, 27 February 2001;Lüdi v. Switzerland, 15 June 1992, Series A no. 238;Mayzit v. Russia, no. 63378/00, 20 January 2005;Nadtochiy v. Ukraine, no. 7460/03, 15 May 2008;Poitrimol v. France, 23 November 1993, Series A no. 277-A;Saïdi v. France, 20 September 1993, Series A no. 261-C;Schiesser v. Switzerland, 4 December 1979, Series A no. 34;Solakov v. “the former Yugoslav Republic of Macedonia”, no. 47023/99, ECHR 2001-X;Unterpertinger v. Austria, 24 November 1986, Series A no. 110",23.0,001-101187,2.7841494
,,,6;6-1;6-3-d;37;37-1,AZE,,,,,11916/06,JAMIYEV v. AZERBAIJAN,11916/06;26307/95;53507/99;25149/03;25754/94;60654/00;25525/03,ECLI:CE:ECHR:2010:0930DEC001191606,Partly struck out of the list;Partly inadmissible,ADMISSIBILITY,,RZAYEV A.,HEDEC,4,,ENG,,,4.0,001-101382,2.7841494
,,,6;6-1;6-3-a;6-3-b;6-3-d;37;37-1,POL,,,,,37330/08,JANKOWSKI v. POLAND,37330/08;1437/06;760/06;243/07;40/05;15212/03;11215/02;61444/00;26307/95;11602/02;28953/03;30979/96;64886/01;52690/99;56026/00,ECLI:CE:ECHR:2010:1102DEC003733008,Partly struck out of the list;Partly inadmissible,ADMISSIBILITY,,"CYRSON L., lawyer, Poznan",HEDEC,4,,ENG,,,7.0,001-101773,2.7841494
