,ecli,appno,respondent,languageisocode,representedby,violation,docname,separateopinion,judgementdate,scl,publishedby,doctypebranch,applicability,conclusion,importance,externalsources,rulesofcourt,referencedate,extractedappno,itemid,article,issue,nonviolation,originatingbody,doctype,rank,year,importance_inverted,doctypebranch_inverted,degree_centrality,in_degree_centrality,out_degree_centrality,relative_in_degree_centrality,core_number,betweenness_centrality,closeness_centrality,harmonic_centrality,current_flow_betweenness,current_flow_closeness,eigenvector_centrality,pagerank,hits_hub,hits_authority,hits_combined,trophic_level,disruption,composite_ranking_importance_weight_composite_ranking,composite_ranking_importance_threshold_composite_ranking,composite_ranking_doctypebranch_weight_composite_ranking,composite_ranking_doctypebranch_threshold_composite_ranking,correlation_degree_centrality_importance,correlation_degree_centrality_doctypebranch,correlation_in_degree_centrality_importance,correlation_in_degree_centrality_doctypebranch,correlation_out_degree_centrality_importance,correlation_out_degree_centrality_doctypebranch,correlation_betweenness_centrality_importance,correlation_betweenness_centrality_doctypebranch,correlation_closeness_centrality_importance,correlation_closeness_centrality_doctypebranch,correlation_core_number_importance,correlation_core_number_doctypebranch,correlation_relative_in_degree_centrality_importance,correlation_relative_in_degree_centrality_doctypebranch,correlation_eigenvector_centrality_importance,correlation_eigenvector_centrality_doctypebranch,correlation_pagerank_importance,correlation_pagerank_doctypebranch,correlation_hits_hub_importance,correlation_hits_hub_doctypebranch,correlation_hits_authority_importance,correlation_hits_authority_doctypebranch,correlation_harmonic_centrality_importance,correlation_harmonic_centrality_doctypebranch,correlation_disruption_importance,correlation_disruption_doctypebranch,correlation_composite_ranking_importance_weight_composite_ranking_importance,correlation_composite_ranking_importance_weight_composite_ranking_doctypebranch,correlation_composite_ranking_importance_threshold_composite_ranking_importance,correlation_composite_ranking_importance_threshold_composite_ranking_doctypebranch,correlation_composite_ranking_doctypebranch_weight_composite_ranking_importance,correlation_composite_ranking_doctypebranch_weight_composite_ranking_doctypebranch,correlation_composite_ranking_doctypebranch_threshold_composite_ranking_importance,correlation_composite_ranking_doctypebranch_threshold_composite_ranking_doctypebranch
0,ECLI:CE:ECHR:2000:1219JUD003418696,34186/96,AUT,ENG,,,CASE OF FREUNBERGER v. AUSTRIA,False,19/12/2000 00:00:00,,,2,,Struck out of the list (friendly settlement),3,,,,34186/96,001-59091,13;37;37-1;38;38-1-b;39;P7-4,,,6,HEJUD,4.7850375,2000,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.946060338781237e-13,0.006544522482339313,-0.0,-0.0,-0.0,1.0,0.0,1000.0000000001002,1000.0,1000.0000000001002,1000.0,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
1,ECLI:CE:ECHR:2009:0616JUD002257105,22571/05,ARM,ENG,YILDIZ K.,6;P7-2,CASE OF GASPARYAN v. ARMENIA (No. 2),False,16/06/2009 00:00:00,,,2,,Violation of Article 6 - Right to a fair trial;Violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters,3,,,,22571/05;26986/03;33268/03,001-92963,6;P7-2,,,6,HEJUD,4.7850375,2009,0,1,0.023809523809523808,0.011904761904761904,0.011904761904761904,0.011764705882352941,2,0.0,0.015873015873015872,1.5,0.0,0.0,8.304979375450966e-08,0.009601359978156273,0.006410884290407438,0.001887807302728666,0.008298691593136103,3.0,-0.125,687.4182792821431,693.2894736842105,977.7505219713546,841.0681818181819,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
2,ECLI:CE:ECHR:2022:1213JUD001442612,14426/12,MDA,ENG,,P7-4,CASE OF PRIGALĂ v. THE REPUBLIC OF MOLDOVA,False,13/12/2022 00:00:00,,,3,,Violation of Article 4 of Protocol No. 7 - Right not to be tried or punished twice-{general} (Article 4 of Protocol No. 7 - Right not to be tried or punished twice),3,,,,14426/12;14939/03;24130/11;29758/11;54012/10;61821/00;4455/10;46133/99;48183/99;34334/04;67334/13,001-221469,P7-4,,,26,HEJUD,4.7850375,2022,0,0,0.03571428571428571,0.0,0.03571428571428571,0.0,3,0.0,0.0,0.0,0.0,0.0,4.946060338781237e-13,0.006544522482339313,0.04444881865584847,-6.576665583474039e-18,0.04444881865584846,1.0,0.0,512.2032077107955,544.3157894736843,869.6651420884378,341.5681818181818,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
3,ECLI:CE:ECHR:2024:0411JUD004013321,40133/21;40135/21;40158/21;40194/21;40197/21;40322/21;40464/21;40511/21;41202/21;41233/21;41245/21;41495/21;41680/21;41953/21;42464/21;42467/21;42982/21;43275/21;43854/21;45034/21;45065/21;45703/21;46693/21;46997/21;47516/21;47649/21;48188/21;49382/21;49711/21;49918/21;50123/21;50154/21;50163/21;50219/21;50225/21;50546/21;50609/21;51115/21;51119/21;51295/21;51676/21;51761/21;51776/21;52037/21,RUS,ENG,,11;11-1;5;5-1;6;6-1;P7-2,CASE OF PAPULIN AND OTHERS v. RUSSIA,False,11/04/2024 00:00:00,,,3,,Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of peaceful assembly);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);Violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters (Article 2 of Protocol No. 7 - Review of conviction),3,,,,40133/21;40792/10;41953/21;34578/97;13918/06;37553/05;74552/01;33482/06;74568/12;76204/11;21613/07;5865/07;54381/08;72051/17;926/08;13764/15;25809/17;40135/21;40158/21;40194/21;40197/21;40322/21;40464/21;40511/21;41202/21;41233/21;41245/21;41495/21;41680/21;42464/21;42467/21;42982/21;43275/21;43854/21;45034/21;45065/21;45703/21;46693/21;46997/21;47516/21;47649/21;48188/21;49382/21;49711/21;49918/21;50123/21;50154/21;50163/21;50219/21;50225/21;50546/21;50609/21;51115/21;51119/21;51295/21;51676/21;51761/21;51776/21;52037/21,001-232042,11;11-1;5;5-1;6;6-1;P7-2,,,25,HEJUD,4.7850375,2024,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.946060338781237e-13,0.006544522482339313,-0.0,-2.192221861158013e-17,-2.192221861158013e-17,1.0,0.0,1000.0000000001002,1000.0,1000.0000000001002,1000.0,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
4,ECLI:CE:ECHR:2024:0328JUD004414721,44147/21;44501/21;44514/21;44580/21;44794/21;44807/21;44883/21;44892/21;44906/21;44910/21;44979/21;44988/21;45020/21;45024/21;45194/21;45200/21;46399/21;46690/21;47031/21;47139/21;47152/21;26850/22;29705/22;37042/22;40717/22;40941/22;41278/22;44809/22,RUS,ENG,,11;11-1;5;5-1;6;6-1;P7-2,CASE OF POGORELOVA AND OTHERS v. RUSSIA,False,28/03/2024 00:00:00,,,3,,Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of peaceful assembly);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);Violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters (Article 2 of Protocol No. 7 - Review of conviction),3,,,,44147/21;40792/10;37553/05;74552/01;33482/06;74568/12;76204/11;21613/07;5865/07;54381/08;72051/17;926/08;13764/15;25809/17;44501/21;44514/21;44580/21;44794/21;44807/21;44883/21;44892/21;44906/21;44910/21;44979/21;44988/21;45020/21;45024/21;45194/21;45200/21;46399/21;46690/21;47031/21;47139/21;47152/21;26850/22;29705/22;37042/22;40717/22;40941/22;41278/22;44809/22,001-231759,11;11-1;5;5-1;6;6-1;P7-2,,,28,HEJUD,4.7850375,2024,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.946060338781237e-13,0.006544522482339313,-0.0,4.384443722316026e-18,4.384443722316026e-18,1.0,0.0,1000.0000000001002,1000.0,1000.0000000001002,1000.0,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
5,ECLI:CE:ECHR:2023:1214JUD003424116,34241/16;41846/17;46358/17;46442/17;53795/17;61387/17;61668/17;61733/17;70805/17;72058/17;12150/18;24517/18;26290/18;34702/18;37026/18;14318/19,RUS,ENG,,5;5-1;6;6-1;10;10-1;11;11-1;P7-2,CASE OF KHORRSHR AND OTHERS v. RUSSIA,False,14/12/2023 00:00:00,,,3,,Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);Violation of Article 10 - Freedom of expression - {general} (Article 10-1 - Freedom of expression);Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of peaceful assembly);Violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters (Article 2 of Protocol No. 7 - Review of conviction),3,,,,34241/16;40792/10;7077/06;38898/04;5865/07;6110/03;54381/08;926/08;13764/15;25501/07;44561/11;67200/12;74568/12;76204/11;21613/07;1253/04;72051/17;41846/17;46358/17;50271/06;46442/17;53795/17;61387/17;61668/17;61733/17;70805/17;72058/17;12150/18;24517/18;26290/18;34702/18;37026/18;14318/19,001-229412,5;5-1;6;6-1;10;10-1;11;11-1;P7-2,,,27,HEJUD,4.7850375,2023,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.946060338781237e-13,0.006544522482339313,-0.0,1.7537774889264104e-17,1.7537774889264104e-17,1.0,0.0,1000.0000000001002,1000.0,1000.0000000001002,1000.0,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
6,ECLI:CE:ECHR:2008:1202JUD003123703,31237/03,ARM,ENG,YILDIZ K.,3;6;P7-2,CASE OF KIRAKOSYAN v. ARMENIA,True,02/12/2008 00:00:00,,,2,,Violation of Article 3 - Prohibition of torture (Substantive aspect);Violation of Article 6 - Right to a fair trial;Violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters,3,,,,31237/03;26986/03;26772/95;30210/96;28524/95;24888/94;47095/99;40907/98;73786/01;57830/00;30138/02;29787/03;29810/03;16074/07;41035/98;35207/03;5140/02;62208/00;72286/01;34578/97;33268/03,001-89959,3;6;P7-2,,,6,HEJUD,4.7850375,2008,0,1,0.023809523809523808,0.011904761904761904,0.011904761904761904,0.011764705882352941,2,0.0,0.015873015873015872,1.5,0.0,0.0,8.304979375450966e-08,0.009601359978156273,0.006410884290407438,0.0018878073027286616,0.0082986915931361,3.0,-0.125,687.4182792821431,693.2894736842105,977.7505219713546,841.0681818181819,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
7,ECLI:CE:ECHR:2022:1110JUD004959214,49592/14;78321/17;8373/20;9495/20;9963/20;10150/20,RUS,ENG,VIKTOROVA Y.A. ; POPKOV A.V. ; MEMORIAL HUMAN RIGHTS CENTRE ; ANOSOVA L.S.,5;5-1;6;6-1;11;11-1;P7-2,CASE OF VIKTOROV AND OTHERS v. RUSSIA,False,10/11/2022 00:00:00,,,3,,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of peaceful assembly);Violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters (Article 2 of Protocol No. 7 - Review of conviction),3,,,,49592/14;926/08;78321/17;8373/20;9495/20;9963/20;10150/20;74568/12;54381/08;24377/15;13764/15;18322/05,001-220516,5;5-1;6;6-1;11;11-1;P7-2,,,27,HEJUD,4.7850375,2022,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.946060338781237e-13,0.006544522482339313,-0.0,8.768887444632052e-18,8.768887444632052e-18,1.0,0.0,1000.0000000001002,1000.0,1000.0000000001002,1000.0,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
8,ECLI:CE:ECHR:2017:1109JUD004600511,46005/11,GRC,ENG,LAMBAKIS C.,6;6-1;13;13+6-1,CASE OF FIRAT v. GREECE,False,09/11/2017 00:00:00,,,2,,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Reasonable time);Violation of Article 13+6-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6 - Criminal proceedings;Right to a fair trial;Article 6-1 - Reasonable time);No violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters (Article 2 of Protocol No. 7 - Review of conviction),3,,,,,001-178724,6;6-1;13;13+6-1;P7-2,,P7-2,4,HEJUD,4.7850375,2017,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.946060338781237e-13,0.006544522482339313,-0.0,4.384443722316026e-18,4.384443722316026e-18,1.0,0.0,1000.0000000001002,1000.0,1000.0000000001002,1000.0,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
9,ECLI:CE:ECHR:2024:0425JUD001485821,14858/21;15094/21;18545/21;20301/21;23982/21;24494/21;25566/21;25929/21;26061/21;28595/21,RUS,ENG,,11;11-1;5;5-1;6;6-1;P7-2,CASE OF PARAMOSHIN AND OTHERS v. RUSSIA,False,25/04/2024 00:00:00,,,3,,Violation of Article 11 - Freedom of assembly and association (Article 11-1 - Freedom of peaceful assembly);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);Violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters (Article 2 of Protocol No. 7 - Review of conviction),3,,,,14858/21;40792/10;37553/05;74552/01;33482/06;74568/12;76204/11;21613/07;5865/07;54381/08;72051/17;926/08;13764/15;25809/17;15094/21;18545/21;20301/21;23982/21;24494/21;25566/21;25929/21;26061/21;28595/21,001-233230,11;11-1;5;5-1;6;6-1;P7-2,,,27,HEJUD,4.7850375,2024,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.946060338781237e-13,0.006544522482339313,-0.0,-0.0,-0.0,1.0,0.0,1000.0000000001002,1000.0,1000.0000000001002,1000.0,0.5593423816151973,0.5394203463148524,0.37104164996230093,0.38179526789253476,0.3983762322174895,0.4499370762236572,0.2702260357432143,0.34280646450410723,0.36978065069635235,0.38139958113183187,0.5256981837482831,0.4893952115261977,0.37104164996230093,0.38179526789253476,0.3610453519924629,0.3630045443453896,0.3750139807739768,0.38022005431632167,0.36384511314013446,0.4117744113216785,0.2854871468722609,0.29392413884736596,0.3698556483860764,0.3775343422759874,0.3147263215367609,0.2982800477141155,0.5519475226511393,0.53113741713705,0.5665866704967334,0.5366248663380386,0.4105070658711098,0.46865223583580135,0.3983762322174895,0.4499370762236572
