,ecli,appno,respondent,languageisocode,representedby,violation,docname,separateopinion,judgementdate,scl,publishedby,doctypebranch,applicability,conclusion,importance,externalsources,rulesofcourt,referencedate,extractedappno,itemid,article,issue,nonviolation,originatingbody,doctype,rank,importance_inverted,doctypebranch_inverted,degree_centrality,in_degree_centrality,out_degree_centrality,relative_in_degree_centrality,core_number,betweenness_centrality,closeness_centrality,harmonic_centrality,current_flow_betweenness,current_flow_closeness,eigenvector_centrality,pagerank,hits_hub,hits_authority,hits_combined,trophic_level,forest_closeness,disruption,composite_ranking_importance_weight_composite_ranking,composite_ranking_importance_threshold_composite_ranking,composite_ranking_doctypebranch_weight_composite_ranking,composite_ranking_doctypebranch_threshold_composite_ranking
0,ECLI:CE:ECHR:1962:0327JUD000021456,214/56,BEL,ENG,,,CASE OF DE BECKER v. BELGIUM,True,27/03/1962 00:00:00,,A4,2,,Struck out of the list,1,"Belgian Penal Code, Article 123 sexies;Belgian Act on Civic Screening, 30 June 1961",32,28/04/1960 00:00:00,,001-57433,10;10-1;10-2,"<div class=""ExternalClassDB0C1403A5904ADFBB0F46703D838A92"">Belgian Penal Code, Article 123 sexies ; Belgian Act on Civic Screening, 30 June 1961</div>",,9,HEJUD,4.7850375,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.827469311825172e-21,0.00011533764405336039,-0.0,-0.0,-0.0,1.0,0.0,0.0,1327.0,1327.0,1327.0,1327.0
1,ECLI:CE:ECHR:1976:0608JUD000510071,5100/71;5101/71;5102/71;5354/72;5370/72,NLD,ENG,,5;5-1;6;6-1,CASE OF ENGEL AND OTHERS v. THE NETHERLANDS,True,08/06/1976 00:00:00,"De Wilde, Ooms and Versyp judgment of 18 June 1971, Series A no. 12, pp. 36, 40, 41, 42, 45, paras. 76, 78, 93;Golder judgment of 21 February 1975, Series A no. 18, pp. 16, 17, 19, 22, paras. 34, 39;Stögmüller judgment of 10 November 1969, Series A no. 9, pp. 27, 29, 36, 39-45;Ringeisen judgment of 16 July 1971, Series A no. 13, pp. 20, 41-45, para. 110;Belgian linguistic case judgment of 23 July 1968, Series A no. 6, pp. 33-35, paras. 9, 10;Neumeister judgment of 27 June 1968, Series A no. 8, pp. 34, 41, para. 18;Neumeister judgment of 7 May 1974, Series A no. 17, pp. 18, 19, paras. 40, 41 Wemhoff judgment of 27 June 1968, Series A no. 7, pp. 26-27, para. 19;De Becker judgment of 27 March 1962, Series A no. 4, p. 26;Ringeisen judgment of 22 June 1972, Series A no. 15, p. 8, paras. 21, 26",A22,2,24;38,Violation of Art. 5-1;Violation of Art. 6-1;No violation of Art. 6-2;No violation of Art. 6-3-b;No violation of Art. 6-3-c;No violation of Art. 6-3-d;No violation of Art. 14+6;Just satisfaction reserved,1,"The Netherlands Military Discipline Act of 27 April 1903, Articles 2, 3, 4, 5, 8, 9B, 10, 10B, 18, 19, 20, 37, 44, 45, 64;Royal Decree of 14 June 1971;Netherlands Act of 12 September 1974;Military Penal Code, Articles 96, 114, 147;Distribution of Writings Decree of 21 December 1967;Geneva Convention of 12 August 1949 relative to Treatment of Prisoners of War, Article 88",,08/10/1974 00:00:00,5100/71;5101/71;5102/71;5354/72;5370/72,001-57479,5;5-1;5-1-a;5-1-b;5-4;14+5-1;14;6;6-1;6-2;6-3-b;6-3-c;6-3-d;14+6;18+6;18;10;10-1;10-2;14+10;17;11,,6;6-2;6-3-b;6-3-c;6-3-d;14+6;14,15,HEJUD,4.7850375,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.827469311825172e-21,0.00011533764405336039,-0.0,8.299706725223915e-19,8.299706725223915e-19,1.0,0.0,0.0,1327.0,1327.0,1327.0,1327.0
2,ECLI:CE:ECHR:1976:1207JUD000549372,5493/72,GBR,ENG,,,CASE OF HANDYSIDE v. THE UNITED KINGDOM,True,07/12/1976 00:00:00,"Belgian linguistic case judgment of 23 July 1968, Series A no. 6, p. 35, para. 10;Engel and Others judgment of 8 June 1976, Series A no. 22, pp. 41-42, paras. 100, 103;De Wilde, Ooms and Versyp judgment of 18 June 1971, Series A no. 12, pp. 45-46, para. 93;Golder judgment of 21 February 1975, Series A no. 18, pp. 21-22, para. 45;Wemhoff judgment of 27 June 1968, Series A no. 7, pp. 24-25, para. 12;Neumeister judgment of 27 June 1968, Series A no. 8, p. 37, para. 5;Stögmüller judgment of 10 November 1969, Series A no. 9, p. 39, para. 3;Matznetter judgment of 10 November 1969, Series A no. 10, p. 31, para. 3;Ringeisen judgment of 16 July 1971, Series A no. 13, p. 42, para. 104",A24,2,,No violation of Art. 10;No violation of P1-1;No violation of Art. 14;No violation of Art. 18,1,"Obscene Publications Acts 1959/1964 Acts, Sections 3, 5 (3);""Travaux préparatoires"", doc. H (61) 4, pp. 1083, 1084, 1086, 1090, 1099, 1105, 1110-111, 113-114",,12/01/1976 00:00:00,5493/72,001-57499,10;10-1;10-2;P1-1;18;14+P1-1;14;14+10,,10;14;18,15,HEJUD,4.7850375,2,1,0.000591715976331361,0.000591715976331361,0.0,0.0005913660555884093,1,0.0,0.0890161836444604,155.33333333333323,0.0,0.0,2.2515973354173455e-09,0.00012979572493261439,-0.0,4.5017028260483966e-05,4.5017028260483966e-05,4.583148349235191,0.0,1.0,820.465,878.5,363.82,364.0
3,ECLI:CE:ECHR:1979:0426JUD000653874,6538/74,GBR,ENG,,10,CASE OF THE SUNDAY TIMES v. THE UNITED KINGDOM (No. 1),True,26/04/1979 00:00:00,"Ireland v. United Kingdom judgment of 18 January 1978, Series A no. 25, p. 63, para. 157;Handyside judgment of 7 December 1976, Series A no. 24, pp. 21, 22, 23, 22-24, paras. 43, 47, 48, 49, 50;Wemhoff judgment of 27 June 1968, Series A no. 7, p. 23, para. 8;König judgment of 28 June 1978, Series A no. 27, pp. 16, 22, 23-24, 29-30, 33-40, para. 88;Golder judgment of 21 February 1975, Series A no. 18, p. 17, para. 34;Neumeister judgment of 27 June 1968, Series A no. 8, pp. 9-15, 38-40;Stögmüller judgment of 10 November 1969, Series A no. 9, pp. 11-24, 39, 43-44;Ringeisen judgment of 16 July 1971, Series A no. 13, pp. 24-34, 40, 42-44, para. 97;Belgian linguistic case judgment of 9 February 1967, Series A no. 5, p. 19;Belgian Linguistic case judgment of 23 July 1968, Series A no. 6, pp. 34-35, para. 10;National Union of Belgian Police judgment of 27 October 1975, Series A no. 19, p. 19, para. 44;Kjeldsen, Busk Madsen and Pedersen judgment of 7 December 1976, Series A no. 23, p. 26, para. 52;Klass and Others judgment of 6 September 1978, Series A no. 28, p. 21, para. 42",A30,2,,Violation of Art. 10;No violation of Art. 14+10;Not necessary to examine Art. 18;Just satisfaction reserved,1,"Report of the Committee on Contempt of Court (""Phillimore report"");Green paper (March 1978);Report of the Interdepartmental Committee on the Law of Contempt as it affects Tribunals of Inquiry, para. 26;Vine Products Ltd. v. Green (1966);Hunt v. Clarke (1889);Halsbury's Laws of England (vol. 8, pp. 7 et seq. paras. 11-13);Vienna Convention of 23 May 1969 on the Law of Treaties, Article 33 para. 4",,15/07/1977 00:00:00,6538/74,001-57584,10;10-1;10-2;14+10;14;18,,14+10;14;10,15,HEJUD,4.785272,2,1,0.000591715976331361,0.000591715976331361,0.0,0.0005913660555884093,1,0.0,0.10793237657208876,190.08333333333334,0.0,0.0,1.05201642388595e-08,0.00016263019399943398,-0.0,2.597708624472713e-05,2.597708624472713e-05,4.350319284268392,0.0,1.0,666.4350000000001,588.0,279.81,280.0
4,ECLI:CE:ECHR:1981:0813JUD000760176,7601/76;7806/77,GBR,ENG,,11,"CASE OF YOUNG, JAMES AND WEBSTER v. THE UNITED KINGDOM",True,13/08/1981 00:00:00,"National Union of Belgian Police judgment of 27 October 1975, Series A no. 19, pp. 17, 18, paras. 38, 39;Belgian linguistic case judgment of 23 July 1968, Series A no. 6, p. 32, para. 5;Golder judgment of 21 February 1975, Series A no. 18, p. 19, para. 38;Winterwerp judgment of 24 October 1979, Series A no. 33, p. 24, para. 60;Guzzardi judgment of 6 November 1980, Series A no. 39, pp. 31-32, para. 88;Airey judgment of 9 October 1979, Series A no. 32, p. 12, para. 24;Kjeldsen, Busk Madsen and Pedersen judgment of 7 December 1976, Series A no. 23, p. 26, para. 52;Sunday Times judgment of 26 April 1979, Series A no. 30, pp. 29, 30-31, 36, paras. 45, 46-49, 59;Handyside judgment of 7 December 1976, Series A no. 24, pp. 22, 23, paras. 48, 49",A44,2,,Violation of Art. 11;No separate issue under Art. 9 and 10;No violation of Art. 13;Just satisfaction reserved,1,"Trade Union and Labour Relations Act 1974;Trade Union and Labour Relations (Amendment) Act 1976;Employment Act, 1980;Report of the Royal Commission on Trade Unions and Employers' Associations, 1968 ""Brindlington Principles 1939"";United Nations Universal Declaration, Article 20 para. 2;Report of 19 June 1950 of the Conference of Senior Officials, Collected Edition of the ""Travaux Préparatoires"", vol. IV, p. 262",,14/05/1980 00:00:00,7601/76;7806/77,001-57608,11;11-1;11-2;9;9-1;10;10-1;13;1,"<div class=""ExternalClass97D5B7042B7E49748810745AABF6AFFA"">Trade Union and Labour Relations Act 1974 ; Trade Union and Labour Relations (Amendment) Act 1976</div>",13,15,HEJUD,4.7850375,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.827469311825172e-21,0.00011533764405336039,-0.0,-0.0,-0.0,1.0,0.0,0.0,1327.0,1327.0,1327.0,1327.0
5,ECLI:CE:ECHR:1983:0325JUD000594772,5947/72;6205/73;7052/75;7061/75;7107/75;7113/75;7136/75,GBR,ENG,,6;6-1;8;13,CASE OF SILVER AND OTHERS v. THE UNITED KINGDOM,False,25/03/1983 00:00:00,"Ireland v. United Kingdom judgment of 18 January 1978, Series A no. 25, pp. 63, 72, 91, paras. 157, 189, 239;National Union of Belgian Police judgment of 27 October 1975, Series A no. 19, p. 17, para. 36;Golder judgment of 21 February 1975, Series A no. 18, p. 21, para. 45;X v. United Kingdom judgment of 5 November 1981, Series A no. 46, pp. 26, 27, paras. 60, 64;Sunday Times judgment of 26 April 1979, Series A no. 30, pp. 29, 30, 31, paras. 45, 49, 48, 47;Klass and Others judgment of 6 September 1978, Series A no. 28, pp. 25-26, 29, 30, 21, 26, paras. 55, 64, 67, 42, 56;Sporrong and Lönnroth judgment of 23 September 1982, Series A no. 52, p. 32, para. 88;Van Droogenbroeck judgment of 24 June 1982, Series A no. 50, p. 32, para. 56;Swedish Engine Drivers' Union judgment of 6 February 1976, Series A no. 20, p. 18, para. 50;Handyside judgment of 7 December 1976, Series A no. 24, pp. 22, 23, paras. 48, 49",A61,2,,Violation of Art. 6-1;Violation of Art. 8;Violation of Art. 13;Just satisfaction reserved,1,"Prison Act 1952;Prison Rules 1964, Rules 34 (8), 33 (1),  33 (2),  34 (2);Standing Orders;Circular Instructions;Explanatory notice issued for the information of prisoners, November 1975",,18/03/1981 00:00:00,5947/72;6205/73;7052/75;7061/75;7107/75;7113/75;7136/75,001-57577,6;6-1;8;8-1;8-2;10;10-1;13,"<div class=""ExternalClassB4533FB3FA7D45359D99600F8E3AB27A"">Prison Rules 1964 ; Prison Act 1952</div>",,9,HEJUD,4.785272,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.827469311825172e-21,0.00011533764405336039,-0.0,3.4582111355099643e-20,3.4582111355099643e-20,1.0,0.0,0.0,1327.0,1327.0,1327.0,1327.0
6,ECLI:CE:ECHR:1985:0325JUD000873479,8734/79,DEU,ENG,,10,CASE OF BARTHOLD v. GERMANY,True,25/03/1985 00:00:00,"Belgian linguistic case judgment of 9 February 1967, Series A no. 5, pp. 18-19;Handyside judgment of 7 December 1976, Series A no. 24, p. 23, para. 49;Sunday Times judgment of 26 April 1979, Series A no. 30, pp. 41, 30, 31, 35-37, 38, paras. 65, 47, 49, 59, 62;Airey judgment of 9 October 1979, Series A no. 32, p. 10, para. 18;Winterwerp judgment of 24 October 1979, Series A no. 33, p. 20, para. 46;Le Compte, Van Leuven and De Meyere judgment of 23 June 1981, Series A no. 43, p. 18, para. 38;X v. United Kingdom judgment of 5 November 1981, Series A no. 46, pp. 19-20, para. 43;Silver and Others judgment of 25 March 1983, Series A no. 61, pp. 32-34, paras. 85-88;Malone judgment of 2 August 1984, Series A no. 82, pp. 31-33, paras. 66-68;No. 7805/77, X and Church of Scientology v. Sweden, Dec. 05.05.79",A90,2,3,Violation of Art. 10;Just satisfaction reserved,1,"Unfair Competition Act of 7 June 1909, Section 1;Hamburg Rules of Professional Conduct for Veterinary Surgeons, Rule 7 para. (a);Hamburg Act of 26 June 1964 on the Veterinary Surgeons' Council, Sections 8 (1), 8 (3), 18;Regulations on the establishment of veterinary clinics, 1975, Regulation 2;Federal Constitutional Court, judgment of 9 May 1972, Entscheidungen des Bundesverfassungsgerichts, vol. 33, pp. 125-171",,12/10/1983 00:00:00,8734/79;7805/77,001-57432,10;10-1;10-2;11,"<div class=""ExternalClassABC7A0D591E7412D9BB4171E547C382B"">Unfair Competition Act of 7 June 1909, Section 1 ; Hamburg Rules of Professional Conduct for Veterinary Surgeons, Rule 7 para. (a)</div>",,9,HEJUD,4.785272,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.827469311825172e-21,0.00011533764405336039,-0.0,5.533137816815943e-19,5.533137816815943e-19,1.0,0.0,0.0,1327.0,1327.0,1327.0,1327.0
7,ECLI:CE:ECHR:1986:0828JUD000922880,9228/80,DEU,ENG,,,CASE OF GLASENAPP v. GERMANY,True,28/08/1986 00:00:00,"Belgian linguistic case judgment of 9 February 1967, Series A no. 5, pp. 18, 18-19;Airey judgment of 9 October 1979, Series A no. 32, p. 10, para. 18;Barthold judgment of 25 March 1985, Series A no. 90, p. 20, para. 41;De Jong, Baljet and van den Brink judgment of 22 May 1984, Series A no. 77, p. 18, para. 34;Guzzardi judgment of 6 November 1980, Series A no. 39, pp. 26-27, para. 72;Abdulaziz, Cabales and Balkandali judgment of 28 May 1985, Series A no. 94, pp. 31-32, para. 60;Engel and Others judgment of 8 June 1976, Series A no. 22, p. 23, para. 54;Swedish Engine Drivers' Union judgment of 6 February 1976, Series A no. 20, p. 14, para. 37;Schmidt and Dahlström judgment of 6 February 1976, Series A no. 21, p. 15, para. 33",A104,2,,Preliminary objection rejected (incompatibility);Preliminary objection rejected (non-exhaustion);No violation of Art. 10,1,"Basic Law, Articles 5, 3(3);Federal Constitutional Court Act, Section 92;North Rhine-Westphalia Civil Servants Act, 6 May 1970, Sections 6(1), 6(2), 14(1);Constitutional Court's judgments of 13 June 1952, 12 April 1956, 3 October 1957, 15 February 1967, 10 November 1981, Entscheidungen des Bundesverfassungsgerichts, vol. 1, p. 343, vol. 5, p. 1, vol. 7, p. 115, vol. 21, p. 194, vol. 59, p. 101;Constitutional Court's judgments of 30 April 1952, 17 December 1953, 26 February 1954, 5 October 1955, 7 May 1957, 25 February 1964, 27 July 1971, 21 September 1976, 25 March 1980, 17 February 1981, 4 June 1985, Entscheidungen des Bundesverfassungsgerichts, vol. 1, p. 271, vol. 3, pp. 73-74, 136, 333, vol. 4, p. 295, vol. 6, p. 385, vol. 17, p. 258, vol. 31, p. 333, vol. 42, pp. 325-326, vol. 53, p. 390, vol. 57, p. 241, vol. 70, p. 162;Constitutional Court's judgment of 22 May 1975, Entscheidungen des Bundesverfassungsgerichts, vol. 39, p. 367;Universal Declaration of Human Rights of 10 December 1948, Article 21 para. 2;International Covenant on Civil and Political Rights of 16 December 1966, Article 25",,16/07/1984 00:00:00,9228/80;250/57,001-57494,35;35-1;10;10-1,,10,15,HEJUD,4.7850375,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.827469311825172e-21,0.00011533764405336039,-0.0,-0.0,-0.0,1.0,0.0,0.0,1327.0,1327.0,1327.0,1327.0
8,ECLI:CE:ECHR:1986:0828JUD000970482,9704/82,DEU,ENG,,,CASE OF KOSIEK v. GERMANY,True,28/08/1986 00:00:00,"Belgian linguistic case judgment of 9 February 1967, Series A no. 5, pp. 18, 18-19;Airey judgment of 9 October 1979, Series A no. 32, p. 10, para. 18;Barthold judgment of 25 March 1985, Series A no. 90, p. 20, para. 41;Abdulaziz, Cabales and Balkandali judgment of 28 May 1985, Series A no. 94, pp. 31-32, para. 60;Engel and Others judgment of 8 June 1976, Series A no. 22, p. 23, para. 54;Swedish Engine Drivers' Union judgment of 6 February 1976, Series A no. 20, p. 14, para. 37;Schmidt and Dahlström judgment of 6 February 1976, Series A no. 21, p. 15, para. 33",A105,2,,Preliminary objection rejected (incompatibility);No violation of Art. 10,1,"Land Civil Servants Act, Sections 6, 8, 38(2);Basic Law;Universal Declaration of Human Rights of 10 December 1948, Article 21 para. 2;International Covenant on Civil and Political Rights of 16 December 1966, Article 25",,16/07/1984 00:00:00,9704/82,001-57513,10;10-1,,10,15,HEJUD,4.7850375,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.827469311825172e-21,0.00011533764405336039,-0.0,-2.7665689084079715e-19,-2.7665689084079715e-19,1.0,0.0,0.0,1327.0,1327.0,1327.0,1327.0
9,ECLI:CE:ECHR:1986:0708JUD000981582,9815/82,AUT,ENG,,10,CASE OF LINGENS v. AUSTRIA,True,08/07/1986 00:00:00,"Barthold judgment of 25 March 1985, Series A no. 90, pp. 21, 24-25, 26, paras. 43, 55, 58;Sunday Times judgment of 26 April 1979, Series A no. 30, pp. 36, 40 paras. 59, 65;Handyside judgment of 7 December 1976, Series A no. 24, p. 23, paras. 50, 49;Zimmermann and Steiner judgment of 13 July 1983, Series A no. 66, p. 13, para. 32;Minelli judgment of 25 March 1983, Series A no. 62, pp. 21, 20, paras. 47, 45;Eckle judgment of 21 June 1983, Series A no. 65, p. 15, para. 35;König judgment of 10 March 1980, Series A no. 36, p. 19, para. 26",A103,2,,Violation of Art. 10;Pecuniary damage - financial award;Costs and expenses award - domestic proceedings;Costs and expenses award - Convention proceedings,1,"Austrian Criminal Code, Article 111 paras. 3, 2",,13/12/1984 00:00:00,9815/82,001-57523,10;10-1;10-2;41,"<div class=""ExternalClass40B1DD803F9C487B988EC346936DAA1A"">Austrian Criminal Code, Article 111</div>",,15,HEJUD,4.7850375,2,1,0.001183431952662722,0.001183431952662722,0.0,0.0011827321111768185,2,0.0,0.06701713582104867,119.51666666666631,0.0,0.0,7.776981643295483e-12,0.00020238187966263927,-0.0,0.00011331215085432403,0.00011331215085432403,2.959128537483238,0.0,1.0,510.15999999999997,427.0,429.9,430.0
